referencia;temp-media-sp;temp-media-rj;temp-media-mg
2020-02-05;21;26;22
2020-02-06;22;25;21
2020-02-07;22;26;21
2020-02-08;23;27;21
2020-02-09;23;29;21
2020-02-10;19;27;23
2020-02-11;17;22;21
2020-02-12;17;22;21
2020-02-13;19;23;20
2020-02-14;19;24;22
2020-02-15;22;27;24
2020-02-16;22;28;23
2020-02-17;23;27;23
2020-02-18;25;30;24
2020-02-19;24;31;24
2020-02-20;24;31;24
2020-02-21;21;27;24
2020-02-22;18;24;24
2020-02-23;17;23;21
2020-02-24;20;23;21
2020-02-25;22;26;23
2020-02-26;22;28;23
2020-02-27;17;24;23
2020-02-28;17;22;21
2020-02-29;19;24;21
2020-03-01;18;23;21
2020-03-02;18;21;18
2020-03-03;18;23;20
2020-03-04;18;23;22
2020-03-05;18;23;23
2020-03-06;18;24;20
2020-03-07;19;24;20
2020-03-08;19;24;21
2020-03-09;20;26;22
2020-03-10;21;26;23
2020-03-11;20;26;23
2020-03-12;20;25;23
2020-03-13;20;26;23
2020-03-14;22;27;23
2020-03-15;24;28;23
2020-03-16;24;29;24
2020-03-17;22;27;23
2020-03-18;22;26;22
2020-03-19;24;28;23
2020-03-20;21;28;22
2020-03-21;19;23;21
2020-03-22;19;24;20
2020-03-23;19;24;20
2020-03-24;19;23;20
2020-03-25;18;23;20
2020-03-26;18;23;20
2020-03-27;19;25;20
2020-03-28;20;25;22
2020-03-29;21;26;23
2020-03-30;21;25;24
2020-03-31;20;26;24
2020-04-01;20;25;23
2020-04-02;23;27;22
2020-04-03;22;27;22
2020-04-04;18;25;23
2020-04-05;18;24;24
2020-04-06;22;26;23
2020-04-07;19;25;23
2020-04-08;17;22;23
2020-04-09;16;22;21
2020-04-10;16;22;22
2020-04-11;17;21;23
2020-04-12;17;21;22
2020-04-13;17;22;21
2020-04-14;19;25;21
2020-04-15;20;26;21
2020-04-16;18;24;20
2020-04-17;16;22;21
2020-04-18;17;22;21
2020-04-19;18;22;19
2020-04-20;18;23;20
2020-04-21;18;22;20
2020-04-22;17;23;20
2020-04-23;18;24;21
2020-04-24;19;24;21
2020-04-25;20;23;20
2020-04-26;20;24;21
2020-04-27;18;24;19
2020-04-28;19;23;19
2020-04-29;19;24;19
2020-04-30;20;25;19
2020-05-01;20;24;19
2020-05-02;19;23;20
2020-05-03;16;21;20
2020-05-04;16;21;19
2020-05-05;19;23;20
2020-05-06;19;24;21
2020-05-07;13;20;19
2020-05-08;14;20;18
2020-05-09;16;19;16
2020-05-10;17;21;16
2020-05-11;18;21;17
2020-05-12;18;22;19
2020-05-13;18;22;20
2020-05-14;17;22;19
2020-05-15;14;20;19
2020-05-16;16;21;18
2020-05-17;16;22;19
2020-05-18;15;23;19
2020-05-19;17;22;19
2020-05-20;18;22;18
2020-05-21;19;23;19
2020-05-22;20;24;19
2020-05-23;19;26;20
2020-05-24;13;23;19
2020-05-25;13;21;18
2020-05-26;14;20;16
2020-05-27;13;19;16
2020-05-28;13;20;16
2020-05-29;15;19;16
2020-05-30;17;20;16
2020-05-31;17;21;16
2020-06-01;17;21;17
2020-06-02;15;20;18
2020-06-03;16;22;20
2020-06-04;17;22;20
2020-06-05;18;23;19
2020-06-06;20;23;19
2020-06-07;20;23;20
2020-06-08;19;23;21
2020-06-09;20;24;21
2020-06-10;20;24;20
2020-06-11;22;25;20
2020-06-12;21;25;21
2020-06-13;21;25;20
2020-06-14;15;22;20
2020-06-15;15;20;20
2020-06-16;17;21;18
2020-06-17;18;22;17
2020-06-18;18;20;17
2020-06-19;19;21;17
2020-06-20;19;23;20
2020-06-21;20;25;19
2020-06-22;19;24;18
2020-06-23;19;22;17
2020-06-24;18;22;17
